id|rightsId|isUpdate|isDLC|isDemo|name|version|region|retailOnly|englishName
0100f6c00641d036|0100f6c00641d0360000000000000003|0|1|0|A.O.T. 2 [Additional Christa Costume: "Maid Outfit"]| 262144|GB|0|
0100f6c00641d02c|0100f6c00641d02c0000000000000003|0|1|0|A.O.T. 2 [Additional Conny Costume: "Kung Fu Outfit"]| 131072|GB|0|
0100f6c00641d003|0100f6c00641d0030000000000000004|0|1|0|A.O.T. 2 [Additional Episode: "A Cornered Rat"]| 131072|GB|0|
0100f6c00641d001|0100f6c00641d0010000000000000004|0|1|0|A.O.T. 2 [Additional Episode: "A Sudden Rain"]| 131072|GB|0|
0100f6c00641d00a|0100f6c00641d00a0000000000000004|0|1|0|A.O.T. 2 [Additional Episode: "A Titan Worth a Thousand"]| 327680|GB|0|
0100f6c00641d009|0100f6c00641d0090000000000000004|0|1|0|A.O.T. 2 [Additional Episode: "Attack IQ Championship"]| 262144|GB|0|
0100f6c00641d004|0100f6c00641d0040000000000000004|0|1|0|A.O.T. 2 [Additional Episode: "Biological Research Scout Mission"]| 196608|GB|0|
0100f6c00641d007|0100f6c00641d0070000000000000004|0|1|0|A.O.T. 2 [Additional Episode: "Discouragement and the Leaning Tower"]| 262144|GB|0|
0100f6c00641d002|0100f6c00641d0020000000000000004|0|1|0|A.O.T. 2 [Additional Episode: "Goddess Salvation"]| 131072|GB|0|
0100f6c00641d006|0100f6c00641d0060000000000000004|0|1|0|A.O.T. 2 [Additional Episode: "Proof of Expertise"]| 196608|GB|0|
0100f6c00641d00c|0100f6c00641d00c0000000000000004|0|1|0|A.O.T. 2 [Additional Episode: "Second Victory"]| 327680|GB|0|
0100f6c00641d008|0100f6c00641d0080000000000000004|0|1|0|A.O.T. 2 [Additional Episode: "Singular Target"]| 262144|GB|0|
0100f6c00641d00b|0100f6c00641d00b0000000000000004|0|1|0|A.O.T. 2 [Additional Episode: "Skill Demonstration"]| 327680|GB|0|
0100f6c00641d005|0100f6c00641d0050000000000000004|0|1|0|A.O.T. 2 [Additional Episode: "White Out"]| 196608|GB|0|
0100f6c00641d027|0100f6c00641d0270000000000000003|0|1|0|A.O.T. 2 [Additional Eren Costume: "Bad Boy Outfit"]| 65536|GB|0|
0100f6c00641d034|0100f6c00641d0340000000000000003|0|1|0|A.O.T. 2 [Additional Erwin Costume: "Knight Outfit"]| 262144|GB|0|
0100f6c00641d03a|0100f6c00641d03a0000000000000003|0|1|0|A.O.T. 2 [Additional Hange Costume: "Detective Outfit"]| 327680|GB|0|
0100f6c00641d033|0100f6c00641d0330000000000000003|0|1|0|A.O.T. 2 [Additional Hange Costume: "Scientist Outfit"]| 262144|GB|0|
0100f6c00641d02b|0100f6c00641d02b0000000000000003|0|1|0|A.O.T. 2 [Additional Jean Costume: "Clown Outfit"]| 131072|GB|0|
0100f6c00641d029|0100f6c00641d0290000000000000003|0|1|0|A.O.T. 2 [Additional Levi Costume: "Leather Jacket Outfit"]| 65536|GB|0|
0100f6c00641d028|0100f6c00641d0280000000000000003|0|1|0|A.O.T. 2 [Additional Mikasa Costume: "Chinese Dress Outfit"]| 65536|GB|0|
0100f6c00641d035|0100f6c00641d0350000000000000003|0|1|0|A.O.T. 2 [Additional Mikasa Costume: "Ninja Outfit"]| 262144|GB|0|
0100f6c00641d02f|0100f6c00641d02f0000000000000003|0|1|0|A.O.T. 2 [Additional Reiner Costume: "American Football Outfit"]| 196608|GB|0|
0100f6c00641d02e|0100f6c00641d02e0000000000000003|0|1|0|A.O.T. 2 [Additional Sasha Costume: "Cheerleader Outfit"]| 131072|GB|0|
0100f6c00641d037|0100f6c00641d0370000000000000003|0|1|0|A.O.T. 2 [Additional Sasha Costume: "Sports Outfit"]| 327680|GB|0|
0100f6c00641d032|0100f6c00641d0320000000000000003|0|1|0|A.O.T. 2 [Additional Ymir Costume: "Pirate Outfit"]| 196608|GB|0|
0100f6c00641d039|0100f6c00641d0390000000000000003|0|1|0|A.O.T. 2 [Additional Ymir Costume: "Shrine Maiden Outfit"]| 327680|GB|0|
0100f6c00641d021|0100f6c00641d0210000000000000004|0|1|0|A.O.T. 2 [Costume Set "Christmas"]| 65536|GB|0|
0100f6c00641d022|0100f6c00641d0220000000000000004|0|1|0|A.O.T. 2 [Costume Set "Christmas"]| 65536|GB|0|
0100f6c00641d023|0100f6c00641d0230000000000000004|0|1|0|A.O.T. 2 [Costume Set "Christmas"]| 65536|GB|0|
0100f6c00641d024|0100f6c00641d0240000000000000004|0|1|0|A.O.T. 2 [Costume Set "Christmas"]| 65536|GB|0|
0100f6c00641d01d|0100f6c00641d01d0000000000000004|0|1|0|A.O.T. 2 [Costume Set "Halloween"]| 65536|GB|0|
0100f6c00641d01e|0100f6c00641d01e0000000000000004|0|1|0|A.O.T. 2 [Costume Set "Halloween"]| 65536|GB|0|
0100f6c00641d01f|0100f6c00641d01f0000000000000004|0|1|0|A.O.T. 2 [Costume Set "Halloween"]| 65536|GB|0|
0100f6c00641d020|0100f6c00641d0200000000000000004|0|1|0|A.O.T. 2 [Costume Set "Halloween"]| 65536|GB|0|
0100f6c00641d015|0100f6c00641d0150000000000000004|0|1|0|A.O.T. 2 [Costume Set "Japanese New Year"]| 65536|GB|0|
0100f6c00641d016|0100f6c00641d0160000000000000004|0|1|0|A.O.T. 2 [Costume Set "Japanese New Year"]| 65536|GB|0|
0100f6c00641d017|0100f6c00641d0170000000000000004|0|1|0|A.O.T. 2 [Costume Set "Japanese New Year"]| 65536|GB|0|
0100f6c00641d018|0100f6c00641d0180000000000000004|0|1|0|A.O.T. 2 [Costume Set "Japanese New Year"]| 65536|GB|0|
0100f6c00641d019|0100f6c00641d0190000000000000004|0|1|0|A.O.T. 2 [Costume Set "Summer Festival"]| 65536|GB|0|
0100f6c00641d01b|0100f6c00641d01b0000000000000004|0|1|0|A.O.T. 2 [Costume Set "Summer Festival"]| 65536|GB|0|
0100f6c00641d01c|0100f6c00641d01c0000000000000004|0|1|0|A.O.T. 2 [Costume Set "Summer Festival"]| 65536|GB|0|
0100f6c00641d01a|0100f6c00641d01a0000000000000004|0|1|0|A.O.T. 2 [Mikasa Costume "Summer Festival"]| 65536|GB|0|
01003c400871e000|01003c400871e0000000000000000003|0|0|0|ACA NEOGEO 2020 SUPER BASEBALL|0|US|0|
01003c400871e800|00000000000000000000000000000000|1|0|0|ACA NEOGEO 2020 SUPER BASEBALL|0|US|0|
0100ac40038f4000|0100ac40038f40000000000000000000|0|0|0|ACA NEOGEO AERO FIGHTERS 2|0|US|0|
0100ac40038f4800|0100ac40038f48000000000000000003|1|0|0|ACA NEOGEO AERO FIGHTERS 2|65536|US|0|
0100b91008780000|0100b910087800000000000000000004|0|0|0|ACA NEOGEO AERO FIGHTERS 3|0|US|0|
0100b91008780800|0100b910087808000000000000000004|1|0|0|ACA NEOGEO AERO FIGHTERS 3|65536|US|0|
0100a76002b46000|0100a76002b460000000000000000000|0|0|0|ACA NEOGEO ALPHA MISSION II|0|US|0|
0100a76002b46800|00000000000000000000000000000000|1|0|0|ACA NEOGEO ALPHA MISSION II|0|US|0|
01006a80038fc000|01006a80038fc0000000000000000003|0|0|0|ACA NEOGEO ART OF FIGHTING|0|US|0|
01006a80038fc800|01006a80038fc8000000000000000003|1|0|0|ACA NEOGEO ART OF FIGHTING|65536|US|0|
010066600877e000|010066600877e0000000000000000003|0|0|0|ACA NEOGEO ART OF FIGHTING 2|0|US|0|
010066600877e800|010066600877e8000000000000000003|1|0|0|ACA NEOGEO ART OF FIGHTING 2|65536|US|0|
01004ac002b40000|01004ac002b400000000000000000003|0|0|0|ACA NEOGEO ART OF FIGHTING 3|0|US|0|
01004ac002b40800|00000000000000000000000000000000|1|0|0|ACA NEOGEO ART OF FIGHTING 3|0|US|0|
01003fe00a2f6000|01003fe00a2f60000000000000000004|0|0|0|ACA NEOGEO BASEBALL STARS PROFESSIONAL|0|US|0|
01003fe00a2f6800|00000000000000000000000000000000|1|0|0|ACA NEOGEO BASEBALL STARS PROFESSIONAL|0|US|0|
0100dfc003398000|0100dfc0033980000000000000000000|0|0|0|ACA NEOGEO BLAZING STAR|0|US|0|
0100dfc003398800|00000000000000000000000000000000|1|0|0|ACA NEOGEO BLAZING STAR|0|US|0|
0100379003900000|01003790039000000000000000000003|0|0|0|ACA NEOGEO BLUE'S JOURNEY|0|US|0|
0100379003900800|00000000000000000000000000000000|1|0|0|ACA NEOGEO BLUE'S JOURNEY|0|US|0|
01002aa004db4000|01002aa004db40000000000000000003|0|0|0|ACA NEOGEO BURNING FIGHT|0|US|0|
01002aa004db4800|00000000000000000000000000000000|1|0|0|ACA NEOGEO BURNING FIGHT|0|US|0|
0100d2400afb0000|0100d2400afb00000000000000000005|0|0|0|ACA NEOGEO CROSSED SWORDS|0|US|0|
0100d2400afb0800|00000000000000000000000000000000|1|0|0|ACA NEOGEO CROSSED SWORDS|0|US|0|
0100ee6002b48000|0100ee6002b480000000000000000000|0|0|0|ACA NEOGEO FATAL FURY|0|US|0|
0100ee6002b48800|00000000000000000000000000000000|1|0|0|ACA NEOGEO FATAL FURY|0|US|0|
0100caf001dbe000|0100caf001dbe0000000000000000000|0|0|0|ACA NEOGEO FATAL FURY 2|0|US|0|
0100caf001dbe800|00000000000000000000000000000000|1|0|0|ACA NEOGEO FATAL FURY 2|0|US|0|
01000d1008714000|01000d10087140000000000000000004|0|0|0|ACA NEOGEO FATAL FURY 3|0|US|0|
01000d1008714800|00000000000000000000000000000000|1|0|0|ACA NEOGEO FATAL FURY 3|0|US|0|
010019a0038fa000|010019a0038fa0000000000000000000|0|0|0|ACA NEOGEO FATAL FURY SPECIAL|0|US|0|
010019a0038fa800|010019a0038fa8000000000000000003|1|0|0|ACA NEOGEO FATAL FURY SPECIAL|65536|US|0|
01002580038de000|01002580038de0000000000000000000|0|0|0|ACA NEOGEO GALAXY FIGHT: UNIVERSAL WARRIORS|0|US|0|
01002580038de800|01002580038de8000000000000000000|1|0|0|ACA NEOGEO GALAXY FIGHT: UNIVERSAL WARRIORS|65536|US|0|
0100cb2001db8000|0100cb2001db80000000000000000000|0|0|0|ACA NEOGEO GAROU: MARK OF THE WOLVES|0|US|0|
0100cb2001db8800|0100cb2001db88000000000000000000|1|0|0|ACA NEOGEO GAROU: MARK OF THE WOLVES|65536|US|0|
01005d700a2f8000|01005d700a2f80000000000000000004|0|0|0|ACA NEOGEO GHOST PILOTS|0|US|0|
01005d700a2f8800|00000000000000000000000000000000|1|0|0|ACA NEOGEO GHOST PILOTS|0|US|0|
0100ce400a2fa000|0100ce400a2fa0000000000000000004|0|0|0|ACA NEOGEO Gururin|0|US|0|
0100ce400a2fa800|0100ce400a2fa8000000000000000004|1|0|0|ACA NEOGEO Gururin|65536|US|0|
010014e004fa8000|010014e004fa80000000000000000003|0|0|0|ACA NEOGEO KARNOV'S REVENGE|0|US|0|
010014e004fa8800|010014e004fa88000000000000000003|1|0|0|ACA NEOGEO KARNOV'S REVENGE|65536|US|0|
0100b1300871a000|0100b1300871a0000000000000000003|0|0|0|ACA NEOGEO KING OF THE MONSTERS|0|US|0|
0100b1300871a800|00000000000000000000000000000000|1|0|0|ACA NEOGEO KING OF THE MONSTERS|0|US|0|
01000d10038e6000|01000d10038e60000000000000000000|0|0|0|ACA NEOGEO LAST RESORT|0|US|0|
01000d10038e6800|00000000000000000000000000000000|1|0|0|ACA NEOGEO LAST RESORT|0|US|0|
0100a2900afa4000|0100a2900afa40000000000000000004|0|0|0|ACA NEOGEO LEAGUE BOWLING|0|US|0|
0100a2900afa4800|00000000000000000000000000000000|1|0|0|ACA NEOGEO LEAGUE BOWLING|0|US|0|
0100a050038f2000|0100a050038f20000000000000000000|0|0|0|ACA NEOGEO MAGICAL DROP II|0|US|0|
0100a050038f2800|00000000000000000000000000000000|1|0|0|ACA NEOGEO MAGICAL DROP II|0|US|0|
01008ed008776000|01008ed0087760000000000000000004|0|0|0|ACA NEOGEO MAGICAL DROP III|0|US|0|
01008ed008776800|00000000000000000000000000000000|1|0|0|ACA NEOGEO MAGICAL DROP III|0|US|0|
01007920038f6000|01007920038f60000000000000000000|0|0|0|ACA NEOGEO MAGICIAN LORD|0|US|0|
01007920038f6800|01007920038f68000000000000000003|1|0|0|ACA NEOGEO MAGICIAN LORD|65536|US|0|
0100ebe002b3e000|0100ebe002b3e0000000000000000000|0|0|0|ACA NEOGEO METAL SLUG|0|US|0|
0100ebe002b3e800|0100ebe002b3e8000000000000000003|1|0|0|ACA NEOGEO METAL SLUG|65536|US|0|
010086300486e000|010086300486e0000000000000000000|0|0|0|ACA NEOGEO METAL SLUG 2|0|US|0|
010086300486e800|00000000000000000000000000000000|1|0|0|ACA NEOGEO METAL SLUG 2|0|US|0|
0100ba8001dc6000|0100ba8001dc60000000000000000000|0|0|0|ACA NEOGEO METAL SLUG 3|0|US|0|
0100ba8001dc6800|0100ba8001dc68000000000000000004|1|0|0|ACA NEOGEO METAL SLUG 3|131072|US|0|
01009ce00afae000|01009ce00afae0000000000000000005|0|0|0|ACA NEOGEO METAL SLUG 4|0|US|0|
