id|region|nsuId
0100DC000A472000|JP|70030000002021
010023500C2F0000|JP|
010064500AF72000|JP|70030000002601
0100B1C00949A000|JP|
0100A1900B5B8000|JP|70030000003762
0100944009646000|JP|
0100C5E003B40000|JP|
0100A5400AC86000|JP|70030000003221
010062F00CAE2000|JP|70030000004726
010075000D092000|JP|70030000005741
0100D3000AEC2000|JP|
01004BE00A682000|JP|
010025B002E92000|JP|70030000000141
01009DF00CC92000|JP|70030000005281
0100C6E00AF2C000|JP|
010078700B2CC000|JP|
0100EA500902E000|JP|
010062200CF14000|JP|
010075100D450000|JP|
01009BC00C0A0000|JP|
010037700C9F2000|JP|
0100DF200AC96000|JP|
01004F600AC8E000|JP|
010047A008760000|JP|70030000001141
01007E6007764000|JP|
0100DD100AE8C000|JP|70030000002441
010071000AAFC000|JP|
0100CA300C5BA000|JP|
01002CD00CB94000|JP|
010047300CB92000|JP|
010044200BC42000|JP|
0100EB900A534000|JP|
0100E67003A86000|JP|
0100F6000BC6C000|JP|
0100C360070F6000|JP|
010049900D3C6000|JP|
010093700BCDC000|JP|70030000005083
010067300AFFA000|JP|
0100E3500BD84000|JP|
0100BEA0096CE000|JP|70030000002022
01008AF0080B8000|JP|
0100A9900C380000|JP|
01002FC00B694000|JP|
0100EC600C994000|JP|70030000004961
010050200D0DA000|JP|
0100ED800CBFC000|JP|
010082900B810000|JP|70030000003381
010052400C622000|JP|
01006E50094E6000|JP|70030000001163
0100E1900923C000|JP|
0100CAB00CAC2000|JP|70030000004761
010022000BCDA000|JP|70030000005082
01007FA00BD60000|JP|70030000003741
010057D00CF10000|JP|
0100F1000CF16000|JP|70030000005084
010069700AF9C000|JP|
0100F4F006EB0000|JP|
010048100BCD8000|JP|70030000004725
0100C2500B718000|JP|
0100F9700BE96000|JP|70030000004661
010007B009314000|JP|
01005BE008674000|JP|70030000001162
0100ADA00BE3C000|JP|
010009100845A000|JP|70030000001381
010021400C6C4000|JP|
01006740034F6000|JP|
010043D004CF6000|JP|
01006A900C686000|JP|
0100D9600BA8E000|JP|70030000004361
010093E00ACB0000|JP|
010043700C102000|JP|
01005B3005D6E000|JP|
